,id,gun_id,sticker1_id,sticker2_id,sticker3_id,sticker4_id,price
0,AK-47 | Элитное снаряжение (После полевых испытаний)Наклейка: Team Spirit | Антверпен 20220,AK-47 | Элитное снаряжение (После полевых испытаний),Наклейка | Team Spirit | Антверпен 2022,,,,1.39
1,"AK-47 | Элитное снаряжение (После полевых испытаний)Наклейка: electronic | Берлин 2019, Aleksib | Берлин 2019, Aleksib | Берлин 20191",AK-47 | Элитное снаряжение (После полевых испытаний),Наклейка | electronic | Берлин 2019,Наклейка | Aleksib | Берлин 2019,Наклейка | Aleksib | Берлин 2019,,1.4
2,"AK-47 | Элитное снаряжение (После полевых испытаний)Наклейка: GODSENT | РМР 2020, IHC Esports | Антверпен 20222",AK-47 | Элитное снаряжение (После полевых испытаний),Наклейка | GODSENT | РМР 2020,Наклейка | IHC Esports | Антверпен 2022,,,1.41
3,AK-47 | Элитное снаряжение (После полевых испытаний)Наклейка: Тер-тех3,AK-47 | Элитное снаряжение (После полевых испытаний),Наклейка | Тер-тех,,,,1.4
4,AK-47 | Элитное снаряжение (После полевых испытаний)Наклейка: f0rest | Лондон 20184,AK-47 | Элитное снаряжение (После полевых испытаний),Наклейка | f0rest | Лондон 2018,,,,1.41
5,"AK-47 | Элитное снаряжение (После полевых испытаний)Наклейка: 100 Thieves | РМР 2020, FaZe | РМР 2020, FaZe | РМР 2020, 100 Thieves | РМР 20205",AK-47 | Элитное снаряжение (После полевых испытаний),Наклейка | 100 Thieves | РМР 2020,Наклейка | FaZe | РМР 2020,Наклейка | FaZe | РМР 2020,Наклейка | 100 Thieves | РМР 2020,1.4
6,"AK-47 | Элитное снаряжение (После полевых испытаний)Наклейка: Natus Vincere (блёстки) | Антверпен 2022, Natus Vincere | Антверпен 2022, s1mple | Антверпен 2022, FURIA (блёстки) | Антверпен 20226",AK-47 | Элитное снаряжение (После полевых испытаний),Наклейка | Natus Vincere (блёстки) | Антверпен 2022,Наклейка | Natus Vincere | Антверпен 2022,Наклейка | s1mple | Антверпен 2022,Наклейка | FURIA (блёстки) | Антверпен 2022,1.4
7,"AK-47 | Элитное снаряжение (После полевых испытаний)Наклейка: Twistzz (чемпион) | Антверпен 2022, 100 Thieves | РМР 2020, FURIA | Антверпен 20227",AK-47 | Элитное снаряжение (После полевых испытаний),Наклейка | Twistzz (чемпион) | Антверпен 2022,Наклейка | 100 Thieves | РМР 2020,Наклейка | FURIA | Антверпен 2022,,1.4
8,"AK-47 | Элитное снаряжение (После полевых испытаний)Наклейка: Evil Geniuses | РМР 2020, Легенда8",AK-47 | Элитное снаряжение (После полевых испытаний),Наклейка | Evil Geniuses | РМР 2020,Наклейка | Легенда,,,1.4
9,"AK-47 | Элитное снаряжение (После полевых испытаний)Наклейка: fer | Антверпен 2022, VINI | Антверпен 2022, fnx | Антверпен 20229",AK-47 | Элитное снаряжение (После полевых испытаний),Наклейка | fer | Антверпен 2022,Наклейка | VINI | Антверпен 2022,Наклейка | fnx | Антверпен 2022,,1.4
10,AK-47 | Элитное снаряжение (После полевых испытаний)Наклейка: Team Spirit | Антверпен 202210,AK-47 | Элитное снаряжение (После полевых испытаний),Наклейка | Team Spirit | Антверпен 2022,,,,1.39
11,"AK-47 | Элитное снаряжение (После полевых испытаний)Наклейка: electronic | Берлин 2019, Aleksib | Берлин 2019, Aleksib | Берлин 201911",AK-47 | Элитное снаряжение (После полевых испытаний),Наклейка | electronic | Берлин 2019,Наклейка | Aleksib | Берлин 2019,Наклейка | Aleksib | Берлин 2019,,1.4
12,"AK-47 | Элитное снаряжение (После полевых испытаний)Наклейка: GODSENT | РМР 2020, IHC Esports | Антверпен 202212",AK-47 | Элитное снаряжение (После полевых испытаний),Наклейка | GODSENT | РМР 2020,Наклейка | IHC Esports | Антверпен 2022,,,1.41
13,AK-47 | Элитное снаряжение (После полевых испытаний)Наклейка: Тер-тех13,AK-47 | Элитное снаряжение (После полевых испытаний),Наклейка | Тер-тех,,,,1.4
14,AK-47 | Элитное снаряжение (После полевых испытаний)Наклейка: f0rest | Лондон 201814,AK-47 | Элитное снаряжение (После полевых испытаний),Наклейка | f0rest | Лондон 2018,,,,1.41
15,"AK-47 | Элитное снаряжение (После полевых испытаний)Наклейка: 100 Thieves | РМР 2020, FaZe | РМР 2020, FaZe | РМР 2020, 100 Thieves | РМР 202015",AK-47 | Элитное снаряжение (После полевых испытаний),Наклейка | 100 Thieves | РМР 2020,Наклейка | FaZe | РМР 2020,Наклейка | FaZe | РМР 2020,Наклейка | 100 Thieves | РМР 2020,1.4
16,"AK-47 | Элитное снаряжение (После полевых испытаний)Наклейка: Natus Vincere (блёстки) | Антверпен 2022, Natus Vincere | Антверпен 2022, s1mple | Антверпен 2022, FURIA (блёстки) | Антверпен 202216",AK-47 | Элитное снаряжение (После полевых испытаний),Наклейка | Natus Vincere (блёстки) | Антверпен 2022,Наклейка | Natus Vincere | Антверпен 2022,Наклейка | s1mple | Антверпен 2022,Наклейка | FURIA (блёстки) | Антверпен 2022,1.4
17,"AK-47 | Элитное снаряжение (После полевых испытаний)Наклейка: Twistzz (чемпион) | Антверпен 2022, 100 Thieves | РМР 2020, FURIA | Антверпен 202217",AK-47 | Элитное снаряжение (После полевых испытаний),Наклейка | Twistzz (чемпион) | Антверпен 2022,Наклейка | 100 Thieves | РМР 2020,Наклейка | FURIA | Антверпен 2022,,1.4
