,sticker_id,price
0,Наклейка | kNgV- (золотая) | Краков 2017,1883.31
1,Наклейка | tabseN (золотая) | Краков 2017,1755.37
2,Наклейка | LEGIJA (золотая) | Краков 2017,1800.0
3,Наклейка | karrigan (золотая) | Краков 2017,1800.0
4,Наклейка | KRIMZ (золотая) | Краков 2017,1800.0
5,Наклейка | dennis (золотая) | Краков 2017,1800.0
6,Наклейка | nex (золотая) | Краков 2017,1800.0
7,Наклейка | HEN1 (золотая) | Краков 2017,1800.0
8,Наклейка | chopper (золотая) | Краков 2017,1800.0
9,Наклейка | markeloff (золотая) | Краков 2017,1800.0
10,Наклейка | hutji (золотая) | Краков 2017,1800.0
11,Наклейка | chopper (золотая) | Краков 2017,1800.0
12,Наклейка | HEN1 (золотая) | Краков 2017,1800.0
13,Наклейка | nex (золотая) | Краков 2017,1800.0
14,Наклейка | LUCAS1 (золотая) | Краков 2017,1755.37
15,Наклейка | oskar (золотая) | Краков 2017,1790.0
16,Наклейка | tonyblack (золотая) | Лондон 2018,1789.23
17,Наклейка | Fnatic (голографическая) | Катовице 2014,1771.08
18,Наклейка | ropz (золотая) | Бостон 2018,1750.0
19,Наклейка | compLexity Gaming (голографическая) | Катовице 2014,1736.61
20,Наклейка | k0nfig (золотая) | Краков 2017,1815.91
21,Наклейка | GuardiaN (золотая) | Краков 2017,1725.0
22,Наклейка | jmqa (золотая) | Бостон 2018,1687.37
23,Наклейка | pashaBiceps (золотая) | Краков 2017,1815.53
24,Наклейка | device (золотая) | Бостон 2018,1673.34
25,Наклейка | bodyy (золотая) | Краков 2017,1754.51
26,Наклейка | keshandr (золотая) | Бостон 2018,1675.06
27,Наклейка | shroud (золотая) | Краков 2017,1675.06
28,Наклейка | NEO (золотая) | Краков 2017,1673.34
29,Наклейка | shox (золотая) | Краков 2017,1675.06
30,Наклейка | LoveYY (золотая) | Бостон 2018,1560.33
31,Наклейка | Skadoodle (золотая) | Краков 2017,1660.75
32,Наклейка | device (золотая) | Краков 2017,1610.3
33,Наклейка | Король поля,1577.69
34,Наклейка | EliGE (золотая) | Бостон 2018,1555.28
35,Наклейка | waterfaLLZ (золотая) | Бостон 2018,1594.67
36,Наклейка | rain (золотая) | Краков 2017,1547.27
37,Наклейка | Team LDLC.com | Катовице 2014,1524.47
38,Наклейка | felps (золотая) | Краков 2017,1631.34
39,Наклейка | apEX (золотая) | Краков 2017,1495.0
40,Наклейка | dimasick (золотая) | Бостон 2018,1428.82
41,Наклейка | HEN1 (золотая) | Бостон 2018,1303.83
42,Наклейка | steel (золотая) | Краков 2017,1369.42
43,Наклейка | Vox Eminor (голографическая) | Катовице 2015,1357.49
44,Наклейка | n0thing (золотая) | Краков 2017,1291.95
45,Наклейка | Snax (золотая) | Краков 2017,1340.63
46,Наклейка | jks (золотая) | Бостон 2018,1289.07
47,Наклейка | MSL (золотая) | Краков 2017,1272.48
48,Наклейка | WorldEdit (золотая) | Краков 2017,1210.35
49,Наклейка | Утренний вой,1201.23
50,Наклейка | Edward (золотая) | Краков 2017,1200.0
51,Наклейка | Summer (золотая) | Бостон 2018,1210.35
52,Наклейка | Natus Vincere | Катовице 2014,1160.88
53,Наклейка | NiKo (золотая) | Бостон 2018,1154.64
54,Наклейка | ngiN (золотая) | Бостон 2018,1210.35
55,Наклейка | boltz (золотая) | Краков 2017,1210.35
56,Наклейка | coldzera (золотая) | Бостон 2018,1121.84
57,Наклейка | LUCAS1 (золотая) | Бостон 2018,1210.35
58,Наклейка | flamie (золотая) | Краков 2017,1100.0
59,Наклейка | coldzera (золотая) | Краков 2017,1116.71
60,Наклейка | Арфа войны (голографическая),1076.63
61,Наклейка | SicK (золотая) | Бостон 2018,1071.29
62,Наклейка | kennyS (золотая) | Катовице 2019,1051.44
63,Наклейка | Twistzz (золотая) | Лондон 2018,1035.0
64,Наклейка | gob b (золотая) | Краков 2017,1014.21
65,Наклейка | Magisk (золотая) | Краков 2017,1000.0
66,Наклейка | kRYSTAL (золотая) | Краков 2017,1051.44
67,Наклейка | oskar (золотая) | Бостон 2018,988.72
68,Наклейка | Hobbit (золотая) | Бостон 2018,1020.06
69,Наклейка | NiKo (металлическая) | Клуж-Напока 2015,936.71
70,Наклейка | Xyp9x (золотая) | Краков 2017,947.23
71,Наклейка | Spiidi (золотая) | Бостон 2018,968.27
72,Наклейка | kennyS (золотая) | Лондон 2018,919.33
73,Наклейка | LGB eSports | Катовице 2014,867.98
74,Наклейка | innocent (золотая) | Краков 2017,880.0
75,Наклейка | s1mple (золотая) | Лондон 2018,764.56
76,Наклейка | Vox Eminor | Катовице 2014,840.94
77,Наклейка | Hobbit (золотая) | Краков 2017,859.0
78,Наклейка | fer (золотая) | Краков 2017,859.0
79,Наклейка | Dosia (золотая) | Краков 2017,830.3
80,Наклейка | AdreN (золотая) | Краков 2017,830.0
81,Наклейка | Boombl4 (золотая) | Бостон 2018,803.51
82,Наклейка | apEX (золотая) | Бостон 2018,800.0
83,Наклейка | nitr0 (золотая) | Бостон 2018,782.05
84,Наклейка | device (золотая) | Лондон 2018,847.24
85,Наклейка | mou (золотая) | Бостон 2018,823.03
86,Наклейка | XANTARES (золотая) | Бостон 2018,717.75
87,Наклейка | n0rb3r7 (золотая) | Рио 2022,747.5
88,Наклейка | cajunb (золотая) | Краков 2017,717.75
89,Наклейка | bondik (золотая) | Лондон 2018,707.97
90,Наклейка | Корона (металлическая),725.7
91,Наклейка | 100 Thieves (металлическая) | Бостон 2018,719.23
92,Наклейка | ZywOo (золотая) | Катовице 2019,699.63
93,Наклейка | flusha (золотая) | Краков 2017,732.26
94,Наклейка | byali (золотая) | Краков 2017,715.84
95,Наклейка | Волк ESL (металлическая) | Катовице 2014,684.1
96,Наклейка | Kjaerbye (золотая) | Краков 2017,676.45
97,Наклейка | TaZ (золотая) | Краков 2017,645.97
98,Наклейка | FalleN (золотая) | Бостон 2018,658.57
99,Наклейка | rain (золотая) | Бостон 2018,639.49
100,Наклейка | chrisJ (золотая) | Краков 2017,642.8
101,Наклейка | tarik (золотая) | Лондон 2018,619.06
102,Наклейка | s1mple (металлическая) | Атланта 2017,652.55
103,Наклейка | Team Dignitas (голографическая) | Кёльн 2014,641.49
104,Наклейка | Крылатый сапер,605.18
105,Наклейка | karrigan (золотая) | Бостон 2018,577.32
106,Наклейка | MSL (золотая) | Бостон 2018,615.62
107,Наклейка | jR (золотая) | Бостон 2018,605.18
108,Наклейка | Titan (голографическая) | Катовице 2015,592.91
109,Наклейка | Zeus (золотая) | Краков 2017,530.34
110,Наклейка | olofmeister (золотая) | Бостон 2018,560.23
111,Наклейка | NBK- (золотая) | Бостон 2018,551.2
112,Наклейка | AZR (золотая) | Бостон 2018,592.98
113,Наклейка | DickStacy (золотая) | Катовице 2019,524.26
114,Наклейка | kioShiMa (золотая) | Краков 2017,544.66
115,Наклейка | LEGIJA (золотая) | Бостон 2018,525.2
116,Наклейка | Natus Vincere (голографическая) | Катовице 2015,512.4
117,Наклейка | Nifty (золотая) | Бостон 2018,544.66
118,Наклейка | KrizzeN (золотая) | Бостон 2018,528.88
119,Наклейка | dupreeh (золотая) | Краков 2017,499.29
120,Наклейка | olofmeister (золотая) | Бостон 2018,560.23
121,Наклейка | NBK- (золотая) | Бостон 2018,551.2
122,Наклейка | AZR (золотая) | Бостон 2018,592.98
123,Наклейка | DickStacy (золотая) | Катовице 2019,524.26
124,Наклейка | kioShiMa (золотая) | Краков 2017,544.66
125,Наклейка | LEGIJA (золотая) | Бостон 2018,525.2
126,Наклейка | Natus Vincere (голографическая) | Катовице 2015,512.4
127,Наклейка | Nifty (золотая) | Бостон 2018,544.66
128,Наклейка | KrizzeN (золотая) | Бостон 2018,528.88
129,Наклейка | dupreeh (золотая) | Краков 2017,499.29
130,Наклейка | olofmeister (золотая) | Бостон 2018,560.23
131,Наклейка | NBK- (золотая) | Бостон 2018,551.2
132,Наклейка | AZR (золотая) | Бостон 2018,592.98
133,Наклейка | DickStacy (золотая) | Катовице 2019,524.26
134,Наклейка | kioShiMa (золотая) | Краков 2017,544.66
