gun_id,sticker_id,price

AWP | Боец (После полевых испытаний),"Наклейка: Spirit (золотая) | РМР 2020, sjuush (золотая) | Стокгольм 2021, electroNic (золотая) | Стокгольм 2021, Evil Geniuses (золотая) | Стокгольм 2021",43.63

AWP | Боец (После полевых испытаний),"Наклейка: bodyy | Краков 2017, Team EnVyUs (голографическая) | Кёльн 2016, byali | Краков 2017, FaZe Clan | Кёльн 2016",43.14

AWP | Боец (После полевых испытаний),Наклейка: FalleN | Катовице 2019,45.35

AWP | Боец (После полевых испытаний),Наклейка: kennyS | Кёльн 2016,49.61

AWP | Боец (После полевых испытаний),"Наклейка: Team EnVyUs | MLG Columbus 2016, FaZe Clan | MLG Columbus 2016, Natus Vincere | Колумбус 2016",53.16

AWP | Боец (После полевых испытаний),"Наклейка: Perfecto | Стокгольм 2021, s1mple (голографическая) | Стокгольм 2021, Ninjas in Pyjamas | Стокгольм 2021, Let's Roll-oll (голографическая)",55.47

AWP | Боец (После полевых испытаний),"Наклейка: Perfecto | Стокгольм 2021, s1mple (голографическая) | Стокгольм 2021, Ninjas in Pyjamas | Стокгольм 2021, Let's Roll-oll (голографическая)",55.06

AWP | Боец (После полевых испытаний),"Наклейка: Cloud9 (голографическая) | Кёльн 2014, Skadoodle | Кёльн 2015",70.00

AWP | Боец (После полевых испытаний),Наклейка: apEX | Клуж-Напока 2015,81.00

AWP | Боец (После полевых испытаний),"Наклейка: Сфинкс, Не волнуйся, я про, Мастер Чиф (голографическая)",93.86

AWP | Боец (После полевых испытаний),"Наклейка: pronax | Кёльн 2015, Titan | Катовице 2015, Ninjas in Pyjamas | Катовице 2015",110.13

AWP | Боец (После полевых испытаний),"Наклейка: Plopski (голографическая) | Стокгольм 2021, Natus Vincere | Стокгольм 2021, Natus Vincere | Кёльн 2015, Закатный рывок (голографическая)",178.95

AWP | Боец (Немного поношенное),Наклейка: Natus Vincere | Кёльн 2016,38.82

AWP | Боец (Немного поношенное),Наклейка: Ninjas in Pyjamas (голографическая) | Лондон 2018,38.14

AWP | Боец (Немного поношенное),"Наклейка: GODSENT | РМР 2020, GODSENT | РМР 2020, GODSENT | РМР 2020, Spirit | РМР 2020",44.33

AWP | Боец (Немного поношенное),"Наклейка: Cloud9 G2A | Кёльн 2015, FaZe Clan | Атланта 2017, Natus Vincere | Атланта 2017, SK Gaming (голографическая) | Краков 2017",39.49

AWP | Боец (Немного поношенное),"Наклейка: Astralis | Краков 2017, SK Gaming (голографическая) | Кёльн 2016, Спец-тех, Astralis | Бостон 2018",40.86

AWP | Боец (Немного поношенное),"Наклейка: Сломанный клык (голографическая), Bosh (голографическая), Evil Geniuses (голографическая) | Стокгольм 2021",39.49

AWP | Боец (Немного поношенное),"Наклейка: kennyS | Колумбус 2016, karrigan | Бостон 2018",40.25

AWP | Боец (Немного поношенное),Наклейка: Кемпинг (металлическая),40.25

AWP | Боец (Немного поношенное),"Наклейка: Возрождение феникса (металлическая), StarLadder | Берлин 2019, USTILO | Лондон 2018, malta | Катовице 2019",42.83

AWP | Боец (Немного поношенное),"Наклейка: FaZe Clan (голографическая) | Лондон 2018, Возрождение феникса (металлическая), Бдительность (голографическая), Отличный выстрел",41.60

AWP | Боец (Немного поношенное),Наклейка: Natus Vincere | Кёльн 2016,38.82

AWP | Боец (Немного поношенное),Наклейка: Ninjas in Pyjamas (голографическая) | Лондон 2018,38.14

AWP | Боец (Немного поношенное),"Наклейка: GODSENT | РМР 2020, GODSENT | РМР 2020, GODSENT | РМР 2020, Spirit | РМР 2020",44.33

AWP | Боец (Немного поношенное),"Наклейка: Cloud9 G2A | Кёльн 2015, FaZe Clan | Атланта 2017, Natus Vincere | Атланта 2017, SK Gaming (голографическая) | Краков 2017",39.49

AWP | Боец (Немного поношенное),"Наклейка: Astralis | Краков 2017, SK Gaming (голографическая) | Кёльн 2016, Спец-тех, Astralis | Бостон 2018",40.86

AWP | Боец (Немного поношенное),"Наклейка: Сломанный клык (голографическая), Bosh (голографическая), Evil Geniuses (голографическая) | Стокгольм 2021",39.49

AWP | Боец (Немного поношенное),"Наклейка: kennyS | Колумбус 2016, karrigan | Бостон 2018",40.25

AWP | Боец (Немного поношенное),Наклейка: Кемпинг (металлическая),40.25

AWP | Боец (Немного поношенное),"Наклейка: Возрождение феникса (металлическая), StarLadder | Берлин 2019, USTILO | Лондон 2018, malta | Катовице 2019",42.83

AWP | Боец (Немного поношенное),"Наклейка: FaZe Clan (голографическая) | Лондон 2018, Возрождение феникса (металлическая), Бдительность (голографическая), Отличный выстрел",41.60

AWP | Боец (Немного поношенное),Наклейка: Natus Vincere | Кёльн 2016,38.82

AWP | Боец (Немного поношенное),Наклейка: Ninjas in Pyjamas (голографическая) | Лондон 2018,38.14

